"Symbol","Bid","Bid Sz","Ask","Ask Sz","Shares","Price","Order ID","Timestamp"
"AA","58.130","3","58.170","1","6","58.17","9bfda8b7-17ff-4a23-abcc-dce75ccc2244","2022-02-02 09:53:30.006"
"AA","58.070","5","58.100","1","-6","58.11","f93076e3-5dc5-4068-a06c-fd05dd6c9145","2022-02-02 09:54:50.266"
"AA","57.680","3","57.720","1","6","57.72","2c849bea-88f6-43b2-92af-10fcf79d4d58","2022-02-02 10:07:20.006"
"AA","57.790","1","57.810","1","-6","57.82","e030020c-416c-4521-91cb-e6577657870d","2022-02-02 10:09:16.848"
"AA","57.770","2","57.810","3","6","57.60","53d82fa3-1869-4475-9b19-16aed9328bdf","2022-02-02 10:17:33.598"
"AA","57.710","3","57.770","8","6","57.60","08c2288c-3a42-48c7-879a-b97ef63631ff","2022-02-02 10:17:33.598"
"AA","57.670","1","57.710","2","6","57.60","6eef2884-119a-498f-86bf-505c15d9e1ec","2022-02-02 10:17:33.598"
"AA","57.520","5","57.550","1","-6","57.55","f30943c5-0e90-4a40-b9c1-779d05eb9d1f","2022-02-02 10:18:00.994"
"AA","57.550","1","57.580","1","-6","57.58","2cf6986d-1387-4c50-97e2-06bddb8a22b5","2022-02-02 10:18:10.282"
"AA","57.560","5","57.620","2","-6","57.62","dea07b37-7894-4249-bbff-3fc935d410bc","2022-02-02 10:18:40.342"
"AA","57.650","1","57.670","1","6","57.40","0e50d812-8175-4344-b4cf-cf222e3f6dd8","2022-02-02 10:35:16.135"
"AA","57.620","6","57.670","1","6","57.40","7ac4d7b0-6034-4728-871e-bcbe2ee8e7c5","2022-02-02 10:35:16.135"
"AA","57.610","3","57.660","6","6","57.40","aaa68591-4d57-451c-bd0a-19f3b74466a7","2022-02-02 10:35:16.135"
"AA","57.620","1","57.640","1","6","57.40","a811183b-3d50-4b46-ad27-336daf9f21ad","2022-02-02 10:35:16.135"
"AA","57.680","3","57.730","1","6","57.40","8bbf409d-a92e-44e3-b377-74684c5e4d61","2022-02-02 10:35:16.135"
"AA","57.340","5","57.370","1","-6","57.37","4b2138e9-a752-4a43-bf57-84dbe5ff0006","2022-02-02 10:35:48.419"
"AA","57.340","5","57.370","1","-6","57.37","500c2a06-e2ba-4c3f-a86a-005f19a582dc","2022-02-02 10:35:48.419"
"AA","57.340","5","57.370","1","-6","57.37","5e46ffb0-2731-4b71-a373-c3e9106aab8b","2022-02-02 10:35:48.419"
"AA","57.340","4","57.370","8","-6","57.37","7fc31cf4-5139-4ee4-afa8-4f9957207334","2022-02-02 10:36:01.815"
"AA","57.340","3","57.370","9","-6","57.37","f21d068d-1406-40cb-9c28-987c80597b16","2022-02-02 10:36:01.815"
"AA","58.120","1","58.160","1","6","57.64","b4ca65cd-afeb-4952-a5f0-89da71ee471e","2022-02-02 11:15:42.656"
"AA","58.130","1","58.180","1","6","57.64","ea8b5a96-f15d-4311-a317-88764bce9e1f","2022-02-02 11:15:42.656"
"AA","58.140","1","58.180","1","6","57.64","cdfc2966-f51f-4c7e-b077-b46e37d821de","2022-02-02 11:15:42.656"
"AA","58.160","3","58.200","1","6","57.64","8529b868-9227-4e5f-82e8-459c7db1f8f3","2022-02-02 11:15:42.656"
"AA","58.110","1","58.150","1","6","57.64","9b39d110-40ec-41cc-a3bd-b098f1ae7d96","2022-02-02 11:15:42.656"
"AA","57.600","1","57.650","5","-6","57.65","5e453350-ffb5-4a4c-b30d-c62ca143ef05","2022-02-02 11:16:04.389"
"AA","57.600","1","57.650","5","-6","57.65","de84efeb-f08b-4b34-9401-c4c1e9e768b0","2022-02-02 11:16:04.389"
"AA","57.600","1","57.650","5","-6","57.65","31722999-99f5-4a62-87e2-d90fa0e3f403","2022-02-02 11:16:04.389"
"AA","57.660","1","57.700","8","-6","57.70","cf354454-dc3a-405d-bc72-ccc0add47263","2022-02-02 11:16:17.894"
"AA","57.680","1","57.700","9","-6","57.70","9a0c319b-c482-4a23-9ddd-65803700c487","2022-02-02 11:16:27.598"
"AA","57.680","6","57.720","2","6","57.72","68488b10-4d14-4d6d-bf5c-f0e532241fbc","2022-02-02 11:21:50.006"
"AA","57.650","2","57.680","1","-6","57.68","9905cb6a-920f-4641-aac8-11a6f7bc2570","2022-02-02 11:22:57.663"
"AA","57.780","2","57.830","1","6","57.50","fd3e1d33-2895-49bf-aede-b987431665ca","2022-02-02 11:31:47.961"
"AA","57.790","1","57.820","2","6","57.50","50a6b424-4504-4a9d-a430-845de9ddc395","2022-02-02 11:31:47.961"
"AA","57.830","3","57.870","1","6","57.50","13e9d389-3044-425b-8192-c7445d4e82aa","2022-02-02 11:31:47.961"
"AA","58.010","1","58.050","1","6","57.50","91298b01-9c89-460c-a604-9c7a8d9aaefa","2022-02-02 11:31:47.961"
"AA","58.150","1","58.190","1","6","57.50","5d6c4166-b048-41e2-8030-01ad66529241","2022-02-02 11:31:47.961"
"AA","58.180","1","58.220","5","6","57.50","69844267-a0c9-47db-84e3-c8a8fdc1ac28","2022-02-02 11:31:47.961"
"AA","58.270","1","58.310","1","6","57.50","5dbcc3d0-378e-4c6c-9591-3f74450fd41b","2022-02-02 11:31:47.961"
"AA","58.250","15","58.300","6","6","57.50","71a89ac8-80ff-4f27-952e-9f2fd27bf314","2022-02-02 11:31:47.961"
"AA","58.250","15","58.290","5","6","57.50","e4715f41-9bec-402d-86b5-e2f264e76c65","2022-02-02 11:31:47.961"
"AA","58.250","15","58.300","1","6","57.50","faf4040e-f5a3-4cff-8ac8-151668d04efe","2022-02-02 11:31:47.961"
"AA","58.250","15","58.300","1","6","57.50","7773d426-d971-4054-b2fb-4f5642512b9d","2022-02-02 11:31:47.961"
"AA","57.510","1","57.530","1","-6","57.53","0a87e898-6f75-45a7-906b-4522da8f6c6f","2022-02-02 11:32:01.195"
"AA","57.510","1","57.530","1","-6","57.53","bcae276e-766f-4a06-9c87-32320159c00a","2022-02-02 11:32:01.195"
"AA","57.510","1","57.530","1","-6","57.53","7031ef5f-123b-45cc-81a7-8a733e72d593","2022-02-02 11:32:01.195"
"AA","57.510","1","57.530","1","-6","57.53","fd14f212-492e-4c3b-922c-7a58e0853864","2022-02-02 11:32:01.195"
"AA","57.510","1","57.530","1","-6","57.53","b5034f07-a8c9-4cce-92de-b0c52d48db05","2022-02-02 11:32:01.195"
"AA","57.510","1","57.530","1","-6","57.53","dde04789-a95d-4853-81c3-0f29c3b2a817","2022-02-02 11:32:01.195"
"AA","57.520","1","57.550","1","-6","57.55","14daaf37-94f6-4432-8c55-f5735cccfd62","2022-02-02 11:32:40.463"
"AA","57.480","1","57.510","6","-6","57.51","15e6f33d-8418-4802-942d-92fb8b266d12","2022-02-02 11:32:58.779"
"AA","57.480","1","57.510","6","-6","57.51","84557a8d-ee40-4cc4-83e9-8b37726d1940","2022-02-02 11:32:58.779"
"AA","57.480","3","57.510","1","-6","57.51","1d558dc5-fba4-47c0-84b4-656f191b8720","2022-02-02 11:33:05.818"
"AA","57.510","1","57.540","1","-6","57.54","45ce7af9-d6f3-4e9b-93a0-4a740ed9f84b","2022-02-02 11:33:27.507"
"AA","58.150","1","58.180","1","6","57.43","cc161f83-20a3-46ec-986a-17dd37566e94","2022-02-02 11:34:06.230"
"AA","58.130","2","58.140","1","6","57.43","853e7e0a-09d7-4de4-9ff7-9838059f85d1","2022-02-02 11:34:06.230"
"AA","58.160","3","58.200","2","6","57.43","51b88379-b4a6-4fd4-a6b6-868c29b4f75e","2022-02-02 11:34:06.230"
